#wave = wavelength (um)
#flux = flux (W/cm^2/um)
#stdev = standard deviation of flux measurement (W/cm^2/um)
#det = LWS detector number (0-9)
#
#wave    flux         stdev           det
 57.8943  1.17191e-17  1.00460e-19      2
 57.9178  1.17118e-17  1.20564e-19      1
 57.9179  1.15505e-17  1.25819e-19      1
 57.9725  1.14413e-17  9.79507e-20      2
 57.9725  1.18061e-17  7.90301e-20      2
 57.9857  1.15884e-17  1.37209e-19      1
 57.9857  1.13257e-17  1.31414e-19      1
 58.0506  1.16440e-17  5.99094e-20      2
 58.0506  1.19065e-17  9.40736e-20      2
 58.0535  1.13604e-17  1.30086e-19      1
 58.0536  1.12389e-17  1.30131e-19      1
 58.1214  1.11627e-17  1.80326e-19      1
 58.1214  1.14805e-17  1.05455e-19      1
 58.1286  1.18779e-17  9.07227e-20      2
 58.1286  1.16534e-17  9.70116e-20      2
 58.1892  1.15649e-17  1.43599e-19      1
 58.1892  1.15721e-17  1.30958e-19      1
 58.2064  1.18099e-17  8.66830e-20      2
 58.2064  1.18420e-17  1.07947e-19      2
 58.2570  1.13783e-17  1.45661e-19      1
 58.2570  1.13663e-17  1.67439e-19      1
 58.2841  1.16404e-17  1.02056e-19      2
 58.2841  1.18461e-17  7.23007e-20      2
 58.3248  1.13384e-17  1.60761e-19      1
 58.3248  1.15999e-17  1.53216e-19      1
 58.3617  1.18396e-17  6.04200e-20      2
 58.3617  1.15612e-17  7.21027e-20      2
 58.3925  1.12555e-17  1.87265e-19      1
 58.3925  1.13820e-17  1.48654e-19      1
 58.4391  1.17662e-17  6.41177e-20      2
 58.4391  1.16682e-17  6.56537e-20      2
 58.4603  1.14505e-17  1.75845e-19      1
 58.4603  1.16708e-17  1.71993e-19      1
 58.5163  1.15170e-17  7.29646e-20      2
 58.5163  1.16319e-17  7.75490e-20      2
 58.5280  1.14771e-17  1.79892e-19      1
 58.5280  1.12532e-17  1.22902e-19      1
 58.5935  1.15137e-17  9.40292e-20      2
