#wave = wavelength (um)
#flux = flux (W/cm^2/um)
#stdev = standard deviation of flux measurement (W/cm^2/um)
#det = LWS detector number (0-9)
#line = LWS line number (0-9)
#
#wave    flux         stdev           det   line
161.1414  2.92587e-19  1.09694e-20      8      0
161.2693  2.85654e-19  1.36573e-20      8      0
161.3971  2.76233e-19  1.19025e-20      8      0
161.5249  2.67437e-19  1.52717e-20      8      0
161.6525  2.93462e-19  2.19869e-20      8      0
176.7120  2.53212e-19  8.99504e-20      9      0
176.8349  3.25142e-19  6.62883e-20      9      0
176.9576  2.22260e-19  2.81993e-20      9      0
177.0802  1.41856e-19  2.20615e-20      9      0
177.1905  1.58184e-19  5.61359e-20      9      0
177.3128  1.96560e-19  4.52352e-20      9      0
177.4351  2.54528e-19  4.31834e-20      9      0
177.5573  1.75197e-19  3.97016e-20      9      0
177.6793  6.35834e-20  3.91453e-20      9      0
177.8012  2.09537e-19  4.90520e-20      9      0
177.9230  2.50516e-19  4.18591e-20      9      0
178.0447  2.31748e-19  3.85950e-20      9      0
178.1663  1.94901e-19  3.07034e-20      9      0
178.2878  2.05763e-19  3.23222e-20      9      0
178.4092  2.07245e-19  3.89760e-20      9      0
178.5305  1.93439e-19  1.70431e-20      9      0
178.6517  2.53993e-19  5.98920e-20      9      0
178.7728  2.36984e-19  5.07318e-20      9      0
178.8938  2.41390e-19  3.33560e-20      9      0
179.0147  1.60089e-19  3.49704e-20      9      0
 46.4610  2.20179e-18  3.32970e-19      0      1
 46.5285  2.00080e-18  1.90707e-19      0      1
 46.5960  1.80693e-18  7.83388e-20      0      1
 46.6634  1.73978e-18  1.17101e-19      0      1
 46.7308  2.03415e-18  1.21595e-19      0      1
 46.7982  1.87813e-18  9.50262e-20      0      1
 46.8655  1.79039e-18  1.29359e-19      0      1
 46.9261  1.89152e-18  8.14002e-20      0      1
 46.9934  1.79320e-18  1.33713e-19      0      1
 47.0607  1.92443e-18  7.91185e-20      0      1
 47.1280  1.79962e-18  6.90538e-20      0      1
 47.1952  1.74174e-18  7.32107e-20      0      1
 47.2624  1.81058e-18  7.92573e-20      0      1
 47.3296  1.68988e-18  5.37045e-20      0      1
 47.3968  1.65896e-18  3.47454e-20      0      1
 47.4639  1.69307e-18  8.55257e-20      0      1
 47.5311  1.91655e-18  5.29042e-20      0      1
 47.5982  1.97462e-18  1.20072e-19      0      1
 47.6653  1.36867e-18  7.28053e-20      0      1
 47.7324  1.97199e-18  2.93985e-19      0      1
 56.4446  2.10349e-18  3.84029e-19      1      1
 56.5125  1.21555e-18  1.25160e-19      1      1
 56.5803  1.24382e-18  2.32192e-19      1      1
 56.6482  1.57169e-18  3.34026e-20      1      1
 56.7159  1.42789e-18  2.59161e-19      1      1
 56.7837  1.23326e-18  1.98550e-19      1      1
 56.8514  1.34241e-18  2.05493e-19      1      1
 56.9123  1.02765e-18  1.72593e-19      1      1
 56.9800  1.15717e-18  3.59614e-19      1      1
 57.0476  1.39199e-18  2.05718e-19      1      1
 57.1152  1.20183e-18  1.72610e-19      1      1
 57.1828  8.03523e-19  1.83779e-19      1      1
 57.2503  1.51390e-18  2.03863e-19      1      1
 57.3178  1.37467e-18  1.16590e-19      1      1
 57.3853  1.03388e-18  2.67649e-19      1      1
 57.4528  1.68186e-18  2.28934e-19      1      1
 57.5202  1.26713e-18  2.44797e-19      1      1
 57.5877  8.57945e-19  1.59641e-19      1      1
 57.6551  1.18237e-18  1.46703e-19      1      1
 57.7224  7.93361e-19  3.56130e-19      1      1
 66.3570  1.24225e-18  1.48240e-19      2      1
 66.4241  1.08526e-18  1.18111e-19      2      1
 66.4912  1.15584e-18  9.92616e-20      2      1
 66.5583  1.20360e-18  5.39179e-20      2      1
 66.6253  1.12516e-18  4.08585e-20      2      1
 66.6923  1.23722e-18  6.42759e-20      2      1
 66.7592  1.14775e-18  1.38642e-19      2      1
 66.8195  1.13475e-18  8.48415e-20      2      1
 66.8863  1.27062e-18  7.62051e-20      2      1
 66.9532  1.08841e-18  1.03325e-19      2      1
 67.0200  1.09058e-18  8.95664e-20      2      1
 67.0868  1.23370e-18  8.01606e-20      2      1
 67.1535  1.10496e-18  4.78273e-20      2      1
 67.2203  1.31114e-18  1.16346e-19      2      1
 67.2869  1.40407e-18  1.26434e-19      2      1
 67.3536  1.37366e-18  1.55856e-19      2      1
 67.4202  1.40711e-18  8.36430e-20      2      1
 67.4868  1.39270e-18  8.80594e-20      2      1
 67.5534  1.27953e-18  1.04276e-19      2      1
 67.6200  1.26492e-18  8.90064e-20      2      1
 75.9331  1.09504e-18  1.10367e-19      3      1
 75.9984  1.24681e-18  1.30225e-19      3      1
 76.0637  1.30526e-18  2.45350e-19      3      1
 76.1289  1.37151e-18  2.20756e-19      3      1
 76.1941  1.38246e-18  1.56463e-19      3      1
 76.2592  1.52754e-18  2.09683e-19      3      1
 76.3243  1.22407e-18  1.30709e-19      3      1
 76.3829  1.41926e-18  1.31453e-19      3      1
 76.4479  1.18660e-18  2.06016e-19      3      1
 76.5129  1.10141e-18  1.75905e-19      3      1
 76.5778  1.26957e-18  2.28809e-19      3      1
 76.6427  1.29432e-18  1.15957e-19      3      1
 76.7076  1.15162e-18  2.25431e-19      3      1
 76.7724  1.34167e-18  2.42737e-19      3      1
 76.8372  1.32491e-18  1.65702e-19      3      1
 76.9020  9.46156e-19  1.60684e-19      3      1
 76.9667  1.15364e-18  1.52513e-19      3      1
 77.0314  1.39533e-18  2.05958e-19      3      1
 77.0961  6.29598e-19  1.02113e-19      3      1
 77.1607  1.04565e-18  2.73071e-19      3      1
 85.0227  6.12654e-19  2.38663e-19      4      1
 85.0851  8.76999e-19  1.02919e-19      4      1
 85.1475  9.89423e-19  1.38906e-19      4      1
 85.2098  8.80052e-19  1.46938e-19      4      1
 85.2721  8.45375e-19  1.49706e-19      4      1
 85.3343  9.64142e-19  1.98068e-19      4      1
 85.3965  1.00287e-18  1.66592e-19      4      1
 85.4524  1.21819e-18  1.32355e-19      4      1
 85.5145  1.09436e-18  1.08795e-19      4      1
 85.5766  1.11499e-18  1.67104e-19      4      1
 85.6386  1.24026e-18  1.33888e-19      4      1
 85.7006  1.05459e-18  1.51150e-19      4      1
 85.7625  9.24347e-19  1.58431e-19      4      1
 85.8244  1.42707e-18  1.58619e-19      4      1
 85.8862  1.09885e-18  1.95014e-19      4      1
